Case Origin,Type,Category,Sub-Category,Station,Date/Time Opened,Date/Time Closed,Age (Days)
Phone,Complaint,Maintenance and Equipment,M&E Misc.,A40 - San Leandro,5/22/18 15:17,5/22/18 15:19,0
Phone,Complaint,Policies,Lost & Found,Y10 - San Francisco Int'l Airport,5/22/18 15:56,5/22/18 15:57,0
Website,Complaint,Maintenance and Equipment,Escalator,,5/22/18 16:48,5/24/18 15:03,2
Website,Complaint,Police,Lack of Presence - STA,R60 - Richmond,5/22/18 16:51,5/24/18 14:15,2
Website,Complaint,Policies,Eating Enforcement,L30 - Dublin/Pleasanton,5/22/18 17:28,5/23/18 14:19,1
Phone,Complaint,Bike Program,Bikes - Misc.,M10 - West Oakland,5/22/18 17:58,5/22/18 17:58,0
Website,Complaint,Policies,Advertising,,5/22/18 19:42,5/23/18 17:20,1
Website,Complaint,Maintenance and Equipment,Landscaped/Tree/Bushes,C50 - Pleasant Hill/Contra Costa Centre,5/22/18 19:44,5/23/18 17:25,1
Website,Complaint,Bike Program,Bikes - Safety Hazard,,5/22/18 21:02,5/23/18 13:55,1
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,,5/22/18 22:35,5/23/18 13:22,1
Website,Complaint,Maintenance and Equipment,Landscaped/Tree/Bushes,C40 - Walnut Creek,5/23/18 7:38,5/23/18 13:08,0
Website,Complaint,Parking,Restrictions/Enforcement,C80 - Pittsburg/Bay Point,5/23/18 8:09,5/23/18 8:53,0
Phone,Complaint,AFC,Vendor Inoperative,A50 - Bay Fair (San Leandro),5/23/18 8:16,5/23/18 8:18,0
Phone,Complaint,Station Cleanliness,Grounds,W30 - San Bruno,5/23/18 8:30,5/23/18 8:32,0
Website,Complaint,Police,Fare Evasion,M40 - Civic Center/UN Plaza (SF),5/23/18 8:47,5/23/18 9:08,0
Phone,Complaint,Train Cleanliness,Interior Car Vandalism,R50 - El Cerrito del Norte,5/23/18 9:03,5/23/18 9:03,0
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,A90 - Fremont,5/23/18 9:17,5/23/18 9:36,0
Website,Complaint,Maintenance and Equipment,Graffiti,R60 - Richmond,5/23/18 9:31,5/23/18 13:04,0
Website,Complaint,Quality of Life,Transient,,5/23/18 11:15,5/23/18 12:43,0
Phone,Complaint,Station Cleanliness,Facilities Maintenance Misc.,R10 - Ashby (Berkeley),5/23/18 11:18,5/23/18 11:20,0
Website,Complaint,Passenger Information,Inadequate/Incorrect,E30 ? Antioch,5/23/18 11:49,5/23/18 12:47,0
Phone,Complaint,Policies,Ticket Distribution,,5/23/18 12:41,5/23/18 12:48,0
Email,Complaint,Service,Service Misc.,,5/23/18 15:09,6/1/18 10:18,9
Website,Complaint,Maintenance and Equipment,Landscaped/Tree/Bushes,C10 - Rockridge (Oakland),5/23/18 15:22,5/23/18 15:50,0
Website,Complaint,Trains,Air Conditioning Inoperative,,5/23/18 16:32,5/23/18 16:58,0
Website,Complaint,Maintenance and Equipment,M&E Misc.,,5/23/18 16:35,5/23/18 16:54,0
Website,Complaint,Quality of Life,Transient,,5/23/18 16:59,5/24/18 10:17,1
Website,Complaint,AFC,Gate Malfunction,C40 - Walnut Creek,5/23/18 17:27,5/24/18 10:49,1
Website,Complaint,Parking,Restrictions/Enforcement,C30 - Lafayette,5/23/18 18:15,5/24/18 11:25,1
Website,Complaint,Maintenance and Equipment,M&E Misc.,,5/23/18 18:17,5/24/18 13:43,1
Website,Complaint,Service,Scheduling,,5/23/18 19:38,5/24/18 13:56,1
Website,Complaint,Police,Fare Evasion,A20 - Fruitvale (Oakland),5/23/18 22:38,5/24/18 12:54,1
Website,Complaint,Quality of Life,Unclean Individual,,5/24/18 5:38,5/24/18 11:08,0
Phone,Complaint,Maintenance and Equipment,Landscaped/Tree/Bushes,C40 - Walnut Creek,5/24/18 7:54,5/24/18 8:31,0
Website,Complaint,Parking,Paid Reserve,C80 - Pittsburg/Bay Point,5/24/18 7:59,5/24/18 10:14,0
Website,Complaint,Quality of Life,Transient,,5/24/18 7:59,5/24/18 8:14,0
Website,Complaint,Trains,Trains Misc.,,5/24/18 8:10,5/24/18 9:39,0
Website,Complaint,Quality of Life,Quality of Life - Other,,5/24/18 8:22,5/24/18 9:09,0
Phone,Complaint,Maintenance and Equipment,Landscaped/Tree/Bushes,,5/24/18 9:22,5/24/18 15:59,0
Phone,Complaint,Parking,Restrictions/Enforcement,A60 - Hayward,5/24/18 10:07,5/24/18 10:07,0
Website,Complaint,Policies,Policies Misc.,,5/24/18 10:31,5/24/18 10:31,0
Website,Complaint,Police,Fare Evasion,,5/24/18 11:22,5/24/18 12:00,0
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,A90 - Fremont,5/24/18 12:39,5/24/18 12:51,0
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,M40 - Civic Center/UN Plaza (SF),5/24/18 15:16,5/24/18 15:47,0
Website,Complaint,Quality of Life,Transient,,5/24/18 16:30,5/24/18 16:51,0
Website,Complaint,Quality of Life,Quality of Life - Other,Y10 - San Francisco Int'l Airport,5/24/18 18:40,5/25/18 13:44,1
Website,Complaint,Station Cleanliness,Platform,M90 - Daly City,5/25/18 6:20,5/25/18 8:23,0
Website,Complaint,Passenger Information,Inadequate/Incorrect,L10 - Castro Valley,5/25/18 6:32,5/25/18 9:12,0
Website,Complaint,Service,Delays,L10 - Castro Valley,5/25/18 8:27,5/25/18 9:08,0
Website,Complaint,Police,Fare Evasion,,5/25/18 9:04,5/25/18 10:11,0
Website,Complaint,Quality of Life,Unclean Individual,,5/25/18 9:59,5/25/18 10:11,0
Website,Complaint,Service,5AM Start,,5/25/18 10:17,5/30/18 14:03,5
Website,Complaint,Police,Lack of Presence - Train,W10 - Colma,5/25/18 13:49,5/25/18 14:27,0
Website,Complaint,Service,Short Trains,,5/25/18 15:07,5/25/18 15:34,0
Phone,Complaint,Policies,Policies Misc.,,5/25/18 17:18,5/25/18 17:18,0
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,M40 - Civic Center/UN Plaza (SF),5/25/18 17:34,5/29/18 10:13,4
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,M40 - Civic Center/UN Plaza (SF),5/25/18 17:52,5/29/18 10:06,4
Phone,Complaint,Police,Lack of Presence - Train,C40 - Walnut Creek,5/25/18 17:54,5/25/18 17:54,0
Phone,Complaint,Quality of Life,Unclean Individual,M20 - Montgomery St. (SF),5/25/18 18:24,5/25/18 18:31,0
Phone,Complaint,Police,Lack of Police Response,M20 - Montgomery St. (SF),5/25/18 18:32,5/25/18 19:03,0
Phone,Complaint,Quality of Life,Transient,W30 - San Bruno,5/25/18 18:42,5/25/18 19:02,0
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,M40 - Civic Center/UN Plaza (SF),5/25/18 19:45,5/29/18 10:57,4
Website,Complaint,Service,Scheduling,,5/26/18 7:51,5/29/18 11:22,3
Website,Complaint,Maintenance and Equipment,M&E Misc.,A90 - Fremont,5/26/18 9:01,5/29/18 14:00,3
Website,Complaint,Passenger Information,Inadequate/Incorrect,,5/26/18 9:34,5/29/18 11:47,3
Website,Complaint,Announcements,Announcements Misc.,,5/26/18 12:08,5/29/18 11:54,3
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,C40 - Walnut Creek,5/26/18 13:52,5/29/18 12:19,3
Website,Complaint,Police,Lack of Presence - STA,M16 - Embarcadero (SF),5/26/18 13:58,5/29/18 13:07,3
Website,Complaint,Police,Lack of Presence - STA,,5/26/18 15:09,5/29/18 12:29,3
Website,Complaint,Policies,Policies Misc.,,5/26/18 23:52,5/29/18 14:33,3
Website,Complaint,Announcements,Announcements Misc.,,5/27/18 8:46,5/29/18 14:44,2
Website,Complaint,Policies,Operations,A80 - Union City,5/27/18 9:18,5/29/18 14:54,2
Website,Complaint,Quality of Life,Quality of Life - Other,,5/27/18 9:26,5/29/18 15:10,2
Website,Complaint,Passenger Information,Inadequate/Incorrect,A30 - Coliseum,5/27/18 10:04,5/29/18 15:26,2
Website,Complaint,Station Cleanliness,Facilities Maintenance Misc.,M90 - Daly City,5/27/18 10:26,5/29/18 14:57,2
Website,Complaint,Maintenance and Equipment,Lighting,A90 - Fremont,5/27/18 13:02,5/29/18 16:35,2
Website,Complaint,Passenger Information,Inadequate/Incorrect,,5/27/18 13:52,5/29/18 15:59,2
Website,Complaint,Police,Lack of Presence - Train,,5/27/18 14:08,5/29/18 16:24,2
Website,Complaint,Service,Delays,,5/27/18 15:15,5/29/18 16:32,2
Website,Complaint,Policies,Fares,W40 - Millbrae,5/27/18 15:56,5/29/18 16:41,2
Website,Complaint,Service,Timed Meet/Connection,E10 - Pittsburg/Bay Point Transfer Island,5/27/18 15:59,5/29/18 17:01,2
Website,Complaint,Policies,Fares,,5/27/18 18:19,6/4/18 12:47,8
Website,Complaint,Station Cleanliness,Platform,M60 - 24th St. Mission (SF),5/27/18 22:33,5/30/18 15:12,3
Website,Complaint,Service,Service Misc.,C50 - Pleasant Hill/Contra Costa Centre,5/28/18 0:48,5/31/18 13:58,4
Website,Complaint,Policies,Refunds,L30 - Dublin/Pleasanton,5/28/18 2:11,5/31/18 9:57,3
Website,Complaint,AFC,Vendor Inoperative,R10 - Ashby (Berkeley),5/28/18 13:09,6/4/18 9:24,7
Website,Complaint,Trains,Trains Misc.,,5/28/18 15:32,5/29/18 15:15,1
Website,Complaint,Passenger Information,Inadequate/Incorrect,A50 - Bay Fair (San Leandro),5/28/18 17:33,5/31/18 12:10,3
Website,Complaint,Police,Lack of Presence - Train,,5/28/18 18:23,6/1/18 9:49,4
Website,Complaint,Police,Police Misc.,,5/28/18 20:10,6/4/18 11:05,7
Website,Complaint,Policies,Refunds,M16 - Embarcadero (SF),5/28/18 21:13,5/30/18 16:28,2
Website,Complaint,Policies,Operations,Y10 - San Francisco Int'l Airport,5/29/18 0:27,6/1/18 9:10,3
Website,Complaint,Service,Delays,C80 - Pittsburg/Bay Point,5/29/18 4:22,6/1/18 10:26,3
Website,Complaint,Service,Short Trains,C80 - Pittsburg/Bay Point,5/29/18 5:14,6/1/18 14:23,3
Website,Complaint,Service,Delays,,5/29/18 5:16,6/1/18 14:59,3
Website,Complaint,Service,Short Trains,C80 - Pittsburg/Bay Point,5/29/18 5:28,6/1/18 15:02,3
Website,Complaint,Service,Short Trains,C80 - Pittsburg/Bay Point,5/29/18 5:30,6/1/18 15:06,3
Website,Complaint,Station Cleanliness,Platform,A60 - Hayward,5/29/18 5:44,6/1/18 15:13,3
Website,Complaint,Service,Timed Meet/Connection,C80 - Pittsburg/Bay Point,5/29/18 5:46,6/4/18 10:28,6
Website,Complaint,Service,Short Trains,C80 - Pittsburg/Bay Point,5/29/18 5:50,6/1/18 15:17,3
Website,Complaint,Service,Crowded Trains,E30 ? Antioch,5/29/18 5:55,6/4/18 13:10,6
Website,Complaint,Service,Delays,,5/29/18 6:22,6/4/18 13:16,6
Website,Complaint,Passenger Information,Inadequate/Incorrect,M80 - Balboa Park (SF),5/29/18 6:54,6/1/18 15:38,3
Website,Complaint,Police,Lack of Presence - Train,,5/29/18 7:42,6/1/18 15:42,3
Website,Complaint,Maintenance and Equipment,Landscaped/Tree/Bushes,A20 - Fruitvale (Oakland),5/29/18 8:02,6/1/18 15:48,3
Website,Complaint,Maintenance and Equipment,STA Pub Address,M30 - Powell St. (SF),5/29/18 8:12,6/4/18 13:34,6
Website,Complaint,Police,Fare Evasion,,5/29/18 8:18,5/29/18 13:10,0
Phone,Complaint,Station Cleanliness,Platform,W30 - San Bruno,5/29/18 8:19,5/29/18 8:26,0
Website,Complaint,Quality of Life,Quality of Life - Other,A40 - San Leandro,5/29/18 8:20,5/29/18 10:23,0
Website,Complaint,Parking,Crowded Lots,E30 ? Antioch,5/29/18 8:41,5/29/18 9:45,0
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,M60 - 24th St. Mission (SF),5/29/18 8:50,5/29/18 9:51,0
Website,Complaint,Parking,Crowded Lots,E30 ? Antioch,5/29/18 10:32,6/4/18 14:00,6
Website,Complaint,Parking,Crowded Lots,E30 ? Antioch,5/29/18 10:56,5/29/18 11:47,0
Website,Complaint,Trains,Air Conditioning Inoperative,,5/29/18 11:18,5/29/18 11:24,0
Website,Complaint,Service,Delays,,5/29/18 11:58,6/4/18 15:19,6
Website,Complaint,Trains,Air Conditioning Inoperative,,5/29/18 12:03,5/30/18 12:19,1
Phone,Complaint,Station Cleanliness,Grounds,C50 - Pleasant Hill/Contra Costa Centre,5/29/18 12:09,5/29/18 12:11,0
Phone,Complaint,AFC,Vendor Inoperative,,5/29/18 12:28,6/4/18 11:26,6
Website,Complaint,Announcements,Quality Train Announcements,,5/29/18 12:29,6/8/18 15:07,10
Website,Complaint,Station Cleanliness,Facilities Maintenance Misc.,,5/29/18 13:11,5/29/18 13:12,0
Website,Complaint,Police,Lack of Presence - STA,M40 - Civic Center/UN Plaza (SF),5/29/18 13:30,6/4/18 15:41,6
Phone,Complaint,AFC,Gate Malfunction,M50 - 16th St. Mission (SF),5/29/18 14:06,5/29/18 16:42,0
Phone,Complaint,Passenger Information,Inadequate/Incorrect,K10 - 12th St. Oakland City Center,5/29/18 14:33,5/29/18 14:39,0
Website,Complaint,Trains,Air Conditioning Inoperative,,5/29/18 14:52,5/30/18 12:35,1
Website,Complaint,Passenger Information,Inadequate/Incorrect,S20 - Warm Springs,5/29/18 16:58,6/4/18 15:38,6
Phone,Complaint,AFC,Delays Due to AFC,H10 - Oakland Int'l Airport,5/29/18 17:05,5/29/18 17:09,0
Website,Complaint,Parking,Restrictions/Enforcement,,5/29/18 17:14,6/4/18 15:56,6
Phone,Complaint,Service,Delays,C80 - Pittsburg/Bay Point,5/29/18 17:20,5/29/18 17:20,0
Website,Complaint,Police,Lack of Presence - Train,,5/29/18 17:27,6/4/18 16:59,6
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,M40 - Civic Center/UN Plaza (SF),5/29/18 17:35,6/4/18 16:12,6
Website,Complaint,Policies,ADA Compliance,K20 - 19th St. Oakland,5/29/18 17:35,6/5/18 8:57,7
Website,Complaint,Service,Delays,M20 - Montgomery St. (SF),5/29/18 17:36,6/6/18 12:25,8
Website,Complaint,Trains,Air Conditioning Inoperative,,5/29/18 18:27,5/30/18 12:27,1
Website,Complaint,Passenger Information,Directional Signage,M40 - Civic Center/UN Plaza (SF),5/29/18 18:28,6/6/18 12:58,8
Website,Complaint,Parking,Restrictions/Enforcement,A90 - Fremont,5/29/18 18:30,6/6/18 13:11,8
Website,Complaint,Policies,Fares,,5/29/18 18:36,6/8/18 15:10,10
Website,Complaint,Maintenance and Equipment,Escalator,,5/29/18 18:38,6/6/18 15:57,8
Website,Complaint,Trains,Air Conditioning Inoperative,,5/29/18 18:58,5/30/18 12:32,1
Website,Complaint,Service,Timed Meet/Connection,E10 - Pittsburg/Bay Point Transfer Island,5/29/18 19:43,6/6/18 13:39,8
Website,Complaint,Service,Timed Meet/Connection,E10 - Pittsburg/Bay Point Transfer Island,5/29/18 19:49,6/6/18 14:01,8
Website,Complaint,Police,Lack of Presence - STA,M40 - Civic Center/UN Plaza (SF),5/29/18 21:13,6/5/18 10:03,7
Website,Complaint,Passenger Information,Inadequate/Incorrect,,5/29/18 21:53,6/6/18 14:29,8
Website,Complaint,Police,Lack of Presence - Train,,5/29/18 22:09,6/5/18 14:03,7
Website,Complaint,Service,Delays,K20 - 19th St. Oakland,5/30/18 4:53,6/5/18 15:26,6
Website,Complaint,Service,Delays,C80 - Pittsburg/Bay Point,5/30/18 5:26,6/5/18 15:28,6
Website,Complaint,Service,Crowded Trains,C80 - Pittsburg/Bay Point,5/30/18 5:51,6/5/18 15:45,6
Website,Complaint,Service,Delays,C80 - Pittsburg/Bay Point,5/30/18 6:11,6/6/18 8:58,7
Website,Complaint,Service,Delays,E30 ? Antioch,5/30/18 6:39,6/5/18 16:31,6
Website,Complaint,Passenger Information,Inadequate/Incorrect,E20 ? Pittsburg Center,5/30/18 6:58,6/6/18 10:50,7
Website,Complaint,Parking,Crowded Lots,E30 ? Antioch,5/30/18 7:19,6/6/18 13:52,7
Website,Complaint,Parking,Crowded Lots,E30 ? Antioch,5/30/18 7:35,6/6/18 14:05,7
Website,Complaint,Parking,Crowded Lots,E30 ? Antioch,5/30/18 7:51,6/6/18 15:15,7
Website,Complaint,Station Cleanliness,Concourse,M30 - Powell St. (SF),5/30/18 7:56,6/6/18 14:16,7
Website,Complaint,Maintenance and Equipment,Graffiti,C30 - Lafayette,5/30/18 8:12,5/30/18 14:12,0
Website,Complaint,Quality of Life,Quality of Life - Other,R40 - El Cerrito Plaza,5/30/18 8:22,6/6/18 14:45,7
Website,Complaint,Maintenance and Equipment,Graffiti,M30 - Powell St. (SF),5/30/18 8:27,5/30/18 14:20,0
Website,Complaint,Passenger Information,Inadequate/Incorrect,,5/30/18 8:42,6/6/18 15:49,7
Website,Complaint,Quality of Life,Quality of Life - Other,,5/30/18 9:02,6/6/18 16:11,7
Website,Complaint,Maintenance and Equipment,M&E Misc.,,5/30/18 9:06,6/6/18 16:38,7
Website,Complaint,Police,Lack of Presence - Train,,5/30/18 9:12,6/6/18 16:58,7
Website,Complaint,Maintenance and Equipment,Graffiti,M90 - Daly City,5/30/18 9:26,5/30/18 13:23,0
Website,Complaint,Station Cleanliness,Parking Garage,M90 - Daly City,5/30/18 9:36,6/6/18 15:23,7
Website,Complaint,Parking,Crowded Lots,E30 ? Antioch,5/30/18 9:45,6/7/18 11:40,8
Phone,Complaint,Station Cleanliness,Platform,R30 - North Berkeley,5/30/18 10:00,5/30/18 10:02,0
Website,Complaint,Service,Delays,M90 - Daly City,5/30/18 10:27,6/6/18 16:54,7
Website,Complaint,Station Cleanliness,Concourse,A20 - Fruitvale (Oakland),5/30/18 10:54,6/7/18 9:17,8
Phone,Complaint,Maintenance and Equipment,M&E Misc.,C80 - Pittsburg/Bay Point,5/30/18 11:38,6/4/18 8:45,5
Website,Complaint,Parking,Restrictions/Enforcement,L30 - Dublin/Pleasanton,5/30/18 11:41,6/12/18 14:34,13
Phone,Complaint,Police,Lack of Presence - STA,E30 ? Antioch,5/30/18 11:48,5/30/18 11:50,0
Phone,Complaint,AFC,Delays Due to AFC,C20 - Orinda,5/30/18 12:05,5/30/18 12:21,0
Phone,Complaint,Service,Crowded Trains,C40 - Walnut Creek,5/30/18 13:00,6/4/18 11:28,5
Website,Complaint,Police,Fare Evasion,M40 - Civic Center/UN Plaza (SF),5/30/18 14:44,5/30/18 15:47,0
Phone,Complaint,Parking,Crowded Lots,E30 ? Antioch,5/30/18 14:44,6/4/18 11:29,5
Website,Complaint,Police,Lack of Presence - Train,,5/30/18 15:49,5/30/18 16:51,0
Phone,Complaint,Train Cleanliness,Interior Car Cleanliness,,5/30/18 16:26,5/30/18 16:26,0
Phone,Complaint,Maintenance and Equipment,Landscaped/Tree/Bushes,,5/30/18 16:35,5/30/18 16:40,0
Phone,Complaint,Policies,Security-Restroom Closure,,5/30/18 16:58,5/30/18 16:58,0
Phone,Complaint,Policies,Fares,,5/30/18 17:00,5/30/18 17:01,0
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,M40 - Civic Center/UN Plaza (SF),5/30/18 17:08,6/1/18 12:09,2
Website,Complaint,Police,Lack of Presence - Train,,5/30/18 17:10,6/7/18 9:40,8
Website,Complaint,Police,Lack of Presence - Train,K10 - 12th St. Oakland City Center,5/30/18 21:02,6/6/18 15:58,7
Website,Complaint,Police,Lack of Presence - Train,C30 - Lafayette,5/30/18 21:23,6/6/18 15:53,7
Website,Complaint,Station Cleanliness,Stairs,K10 - 12th St. Oakland City Center,5/30/18 22:30,6/6/18 15:43,7
Website,Complaint,Announcements,No Delay Announcement,,5/31/18 0:18,6/7/18 12:06,7
Website,Complaint,Police,Lack of Presence - Train,R40 - El Cerrito Plaza,5/31/18 5:31,6/6/18 15:37,6
Website,Complaint,AFC,Parkmaster Inoperative,,5/31/18 6:23,5/31/18 9:46,0
Website,Complaint,Maintenance and Equipment,Graffiti,,5/31/18 7:45,5/31/18 8:47,0
Website,Complaint,Police,Fare Evasion,,5/31/18 7:49,5/31/18 8:21,0
Phone,Complaint,AFC,Addfare Inoperative,E30 ? Antioch,5/31/18 8:10,5/31/18 8:15,0
Website,Complaint,Train Cleanliness,Train Clean - Misc.,,5/31/18 8:33,5/31/18 8:53,0
Website,Complaint,Parking,Crowded Lots,E30 ? Antioch,5/31/18 9:21,6/6/18 14:55,6
Website,Complaint,Maintenance and Equipment,Escalator,M50 - 16th St. Mission (SF),5/31/18 9:31,6/6/18 14:53,6
Phone,Complaint,AFC,Parkmaster Inoperative,R10 - Ashby (Berkeley),5/31/18 9:35,5/31/18 9:37,0
Website,Complaint,Parking,Crowded Lots,E30 ? Antioch,5/31/18 10:47,6/6/18 14:26,6
Website,Complaint,Service,5AM Start,,5/31/18 10:49,6/6/18 14:24,6
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,,5/31/18 11:06,6/11/18 11:48,11
Website,Complaint,Parking,Crowded Lots,E30 ? Antioch,5/31/18 11:49,6/6/18 14:06,6
Phone,Complaint,Passenger Information,Inadequate/Incorrect,C10 - Rockridge (Oakland),5/31/18 13:05,5/31/18 13:06,0
Website,Complaint,Parking,Crowded Lots,E30 ? Antioch,5/31/18 13:13,6/6/18 14:03,6
Phone,Complaint,Station Cleanliness,Plaza,M70 - Glen Park (SF),5/31/18 13:42,5/31/18 13:42,0
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,M40 - Civic Center/UN Plaza (SF),5/31/18 15:27,6/5/18 16:01,5
Website,Complaint,Parking,Crowded Lots,E30 ? Antioch,5/31/18 15:44,6/6/18 13:49,6
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,M40 - Civic Center/UN Plaza (SF),5/31/18 16:52,6/5/18 15:51,5
Website,Complaint,Police,Police Misc.,A30 - Coliseum,5/31/18 17:43,6/5/18 15:49,5
Website,Complaint,Maintenance and Equipment,M&E Misc.,,5/31/18 18:20,6/5/18 15:42,5
Website,Complaint,Maintenance and Equipment,Graffiti,M40 - Civic Center/UN Plaza (SF),5/31/18 18:28,6/5/18 15:39,5
Website,Complaint,Police,Fare Evasion,M30 - Powell St. (SF),5/31/18 21:11,6/6/18 13:41,6
Website,Complaint,Police,Lack of Presence - STA,A20 - Fruitvale (Oakland),5/31/18 21:50,6/6/18 13:38,6
Website,Complaint,Parking,Crowded Lots,E30 ? Antioch,5/31/18 22:02,6/6/18 13:35,6
Website,Complaint,Police,Police Misc.,K30 - MacArthur (Oakland),5/31/18 22:22,6/1/18 10:57,1
Website,Complaint,Policies,Advertising,,6/1/18 0:00,6/6/18 13:32,6
Website,Complaint,Police,Lack of Presence - Train,,6/1/18 6:06,6/6/18 12:37,5
Website,Complaint,Policies,Fares,C60 - Concord,6/1/18 6:49,6/7/18 10:19,6
Website,Complaint,Parking,Crowded Lots,E30 ? Antioch,6/1/18 7:14,6/6/18 11:29,5
Website,Complaint,Parking,Crowded Lots,E30 ? Antioch,6/1/18 7:59,6/1/18 11:31,0
Website,Complaint,Policies,Soliciting,C60 - Concord,6/1/18 8:15,6/1/18 11:08,0
Website,Complaint,Announcements,Quality Train Announcements,C10 - Rockridge (Oakland),6/1/18 8:46,6/1/18 10:40,0
Phone,Complaint,Maintenance and Equipment,M&E Misc.,R50 - El Cerrito del Norte,6/1/18 9:27,6/1/18 9:30,0
Email,Complaint,Maintenance and Equipment,Escalator,M30 - Powell St. (SF),6/1/18 9:27,6/18/18 16:09,17
Email,Complaint,Parking,Parking Misc.,,6/1/18 9:37,6/18/18 16:04,17
Email,Complaint,Maintenance and Equipment,M&E Misc.,C40 - Walnut Creek,6/1/18 10:36,6/1/18 10:37,0
Phone,Complaint,Service,Scheduling,C80 - Pittsburg/Bay Point,6/1/18 10:38,6/1/18 10:47,0
Website,Complaint,Parking,Restrictions/Enforcement,E20 ? Pittsburg Center,6/1/18 10:58,6/1/18 10:59,0
Phone,Complaint,Station Cleanliness,Stairs,R20 - Downtown Berkeley,6/1/18 11:15,6/1/18 11:20,0
Phone,Complaint,Police,Lack of Presence - STA,L20 - West Dublin/Pleasanton,6/1/18 11:20,6/1/18 11:20,0
Phone,Complaint,Parking,Crowded Lots,E30 ? Antioch,6/1/18 11:25,6/7/18 10:21,6
Phone,Complaint,Passenger Information,Inadequate/Incorrect,C10 - Rockridge (Oakland),6/1/18 11:48,6/1/18 12:00,0
Website,Complaint,Service,Short Trains,M40 - Civic Center/UN Plaza (SF),6/1/18 12:04,6/4/18 15:48,3
Phone,Complaint,Passenger Information,Inadequate/Incorrect,M50 - 16th St. Mission (SF),6/1/18 12:07,6/22/18 9:57,21
Phone,Complaint,AFC,Parkmaster Inoperative,A80 - Union City,6/1/18 12:27,6/1/18 14:05,0
Phone,Complaint,Policies,Fares,E30 ? Antioch,6/1/18 12:50,6/1/18 12:51,0
Phone,Complaint,Police,Lack of Presence - STA,A40 - San Leandro,6/1/18 16:22,6/1/18 16:23,0
Phone,Complaint,Policies,Lost & Found,,6/1/18 16:35,6/5/18 16:26,4
Website,Complaint,Maintenance and Equipment,Lighting,C20 - Orinda,6/1/18 16:39,6/4/18 15:34,3
Phone,Complaint,AFC,Gate Malfunction,M20 - Montgomery St. (SF),6/1/18 16:42,6/1/18 16:43,0
Phone,Complaint,Station Cleanliness,Plaza,A10 - Lake Merritt (Oakland),6/1/18 16:50,6/1/18 16:51,0
Website,Complaint,Parking,Long Term,L30 - Dublin/Pleasanton,6/1/18 16:55,6/5/18 15:42,4
Phone,Complaint,AFC,Gate Malfunction,,6/1/18 17:07,6/1/18 17:09,0
Website,Complaint,Policies,Smoking Enforcement,K30 - MacArthur (Oakland),6/1/18 17:56,6/4/18 16:20,3
Website,Complaint,Passenger Information,Improve Website,,6/1/18 20:34,6/5/18 16:21,4
Website,Complaint,Policies,Fares,A40 - San Leandro,6/1/18 21:34,6/5/18 16:24,4
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,A90 - Fremont,6/1/18 23:20,6/4/18 9:29,2
Website,Complaint,Police,Fare Evasion,A90 - Fremont,6/1/18 23:31,6/4/18 16:05,3
Website,Complaint,Police,Lack of Presence - Train,,6/2/18 8:56,6/4/18 16:19,2
Website,Complaint,Service,Crowded Trains,,6/2/18 14:09,6/5/18 17:12,3
Website,Complaint,Station Cleanliness,Grounds,A80 - Union City,6/2/18 14:15,6/4/18 16:15,2
Website,Complaint,Trains,Air Conditioning Inoperative,C30 - Lafayette,6/2/18 15:35,6/4/18 13:58,2
Website,Complaint,Policies,Operations,M20 - Montgomery St. (SF),6/2/18 18:29,6/5/18 17:39,3
Website,Complaint,Service,Delays,S20 - Warm Springs,6/3/18 8:20,6/4/18 13:41,1
Website,Complaint,Service,Scheduling,K20 - 19th St. Oakland,6/3/18 9:55,6/4/18 13:37,1
Website,Complaint,Maintenance and Equipment,Landscaped/Tree/Bushes,C60 - Concord,6/3/18 10:49,6/4/18 13:33,1
Website,Complaint,Policies,Operations,M16 - Embarcadero (SF),6/3/18 11:06,6/7/18 16:28,4
Website,Complaint,Maintenance and Equipment,M&E Misc.,C50 - Pleasant Hill/Contra Costa Centre,6/3/18 11:09,6/6/18 9:29,3
Website,Complaint,Trains,Air Conditioning Inoperative,,6/3/18 16:46,6/5/18 15:25,2
Website,Complaint,Trains,Air Conditioning Inoperative,K30 - MacArthur (Oakland),6/3/18 16:52,6/4/18 13:18,1
Website,Complaint,Service,Timed Meet/Connection,K30 - MacArthur (Oakland),6/3/18 17:10,6/4/18 13:13,1
Website,Complaint,Parking,Crowded Lots,E30 ? Antioch,6/4/18 5:47,6/6/18 10:36,2
